worker_id,votes,correct,accuracy
AP4LB7P4K7M9L,186,149,0.8011
A2NX92POGATSQU,184,141,0.7663
A2S834OHCORO1W,184,172,0.9348
A3URILKJNVKSC6,177,136,0.7684
A1LO9EDDV5D7LM,177,116,0.6554
A22PGWBCLQO277,174,153,0.8793
A2EBRQ70UDVAU2,169,129,0.7633
A2YDVX56BVBEP8,169,123,0.7278
A1WGCUVQZ7ODGF,168,110,0.6548
A2HSX08DWDYJU7,167,154,0.9222
AZQWQKPSTAO,164,140,0.8537
A2I68SNRG9QUY7,164,121,0.7378
ALCWSAIQHCBCV,162,125,0.7716
A1YI3I2KCAXRHQ,159,127,0.7987
A3171TJN0M6YHQ,154,131,0.8506
A3R5K7A8US5PDE,150,97,0.6467
A1KXF2L2ZGQXJK,141,131,0.9291
A3AHE81HVRXFCD,140,126,0.9000
A38ER9Y038JJFD,140,138,0.9857
A2N9H9BHCYDR,140,101,0.7214
A5AP9GUKQUNPJ,140,95,0.6786
A2UND26FA774L9,140,101,0.7214
A3L26N6MNSU7BA,140,114,0.8143
A39U0GKFMV1S0O,140,118,0.8429
A3404IIFIN1T2H,140,103,0.7357
AA1IM0SAQ3XFM,140,140,1.0000
A2G5UCB3HJENIR,140,111,0.7929
A1LN8392JHDGL5,138,125,0.9058
AF642VCALD1MS,137,114,0.8321
A3FPAV06DR0VWR,136,124,0.9118
A112Z00MCKPS6F,136,117,0.8603
AQ310YX22A2T2,135,126,0.9333
A2THKOWH7892FP,126,102,0.8095
A1RTMB1V9GK7HM,124,109,0.8790
A1HA19WCH62BO3,124,120,0.9677
A205WBOO6VB6WP,123,109,0.8862
A23B3KN37PYNDF,120,120,1.0000
A3HYU8WSD2QPTK,120,110,0.9167
AZMQZIFTRV6ZF,120,99,0.8250
A23FQY0N3HQZ0Y,120,92,0.7667
A1QO9CJ6KFDWQJ,120,84,0.7000
A23HL48WA6J7WR,120,96,0.8000
A35G1L6FBGTGDW,119,99,0.8319
AVFCPG1MM0ZZ4,116,115,0.9914
A3AYHESLQSDY5T,114,93,0.8158
AK9GL4SZ2RXF6,114,82,0.7193
A2IXXN84YF5S48,112,96,0.8571
